,operatetime,_c1,day,hour,period,day_type,timestamp
112,2022052107,1051,876,7,2,2,1653087600.0
113,2022052106,219,876,6,3,2,1653084000.0
114,2022052105,109,876,5,3,2,1653080400.0
115,2022052104,26,876,4,3,2,1653076800.0
116,2022052103,75,876,3,3,2,1653073200.0
117,2022052102,35,876,2,3,2,1653069600.0
118,2022052101,134,876,1,3,2,1653066000.0
119,2022052100,246,876,0,3,2,1653062400.0
120,2022052023,694,875,23,3,1,1653058800.0
121,2022052022,1239,875,22,2,1,1653055200.0
122,2022052021,2008,875,21,2,1,1653051600.0
123,2022052020,3309,875,20,2,1,1653048000.0
124,2022052019,6303,875,19,2,1,1653044400.0
125,2022052018,14304,875,18,1,1,1653040800.0
126,2022052017,30856,875,17,1,1,1653037200.0
127,2022052016,40873,875,16,1,1,1653033600.0
128,2022052015,47169,875,15,1,1,1653030000.0
129,2022052014,47142,875,14,1,1,1653026400.0
130,2022052013,17629,875,13,1,1,1653022800.0
131,2022052012,9698,875,12,1,1,1653019200.0
132,2022052011,28778,875,11,1,1,1653015600.0
133,2022052010,43165,875,10,1,1,1653012000.0
134,2022052009,61854,875,9,1,1,1653008400.0
135,2022052008,66670,875,8,1,1,1653004800.0
136,2022052007,4542,875,7,2,1,1653001200.0
137,2022052006,353,875,6,3,1,1652997600.0
138,2022052005,134,875,5,3,1,1652994000.0
139,2022052004,27,875,4,3,1,1652990400.0
140,2022052003,89,875,3,3,1,1652986800.0
141,2022052002,49,875,2,3,1,1652983200.0
142,2022052001,218,875,1,3,1,1652979600.0
143,2022052000,313,875,0,3,1,1652976000.0
144,2022051923,756,874,23,3,1,1652972400.0
145,2022051922,1750,874,22,2,1,1652968800.0
146,2022051921,2440,874,21,2,1,1652965200.0
147,2022051920,3708,874,20,2,1,1652961600.0
148,2022051919,6458,874,19,2,1,1652958000.0
149,2022051918,13647,874,18,1,1,1652954400.0
150,2022051917,30898,874,17,1,1,1652950800.0
151,2022051916,40366,874,16,1,1,1652947200.0
152,2022051915,47330,874,15,1,1,1652943600.0
153,2022051914,48861,874,14,1,1,1652940000.0
